id,name,category,nearest_airport,distance_from_airport,entry_fees,age_restriction,specializations,type
56,Bandipur National Park,Adventure,Kempegowda International Airport,220.0,300.0,12+,"Wildlife Safari, Tigers",Wildlife
57,Gokarna,Adventure,Goa International Airport,140.0,0.0,None,"Beaches, Temples",Beach
58,Hogenakkal Falls,Sightseeing,Kempegowda International Airport,180.0,10.0,None,"Waterfalls, Boating",Natural Beauty
59,Yercaud,Adventure,Salem Airport,38.0,0.0,None,"Hill Station, Lake",Natural Beauty
60,Wayanad,Adventure,Calicut International Airport,90.0,0.0,None,"Trekking, Waterfalls",Natural Beauty
61,Nandi Hills,Sightseeing,Kempegowda International Airport,42.0,5.0,None,"Sunrise, Hills",Natural Beauty
62,Bekal Fort,Sightseeing,Mangalore International Airport,60.0,5.0,None,"Fort, Beach",Historical
63,Shivanasamudra Falls,Sightseeing,Kempegowda International Airport,130.0,5.0,None,"Waterfalls, River",Natural Beauty
64,Jog Falls,Sightseeing,Hubli Airport,134.0,10.0,None,"Waterfalls, Scenic Views",Natural Beauty
65,Madurai,Sightseeing,Madurai International Airport,12.0,0.0,None,"Temples, Architecture",Religious
66,Hassan,Adventure,Kempegowda International Airport,182.0,10.0,None,"Temples, Trekking",Historical
67,Chennai,Sightseeing,Chennai International Airport,12.0,0.0,None,"CityLife, Beaches",Urban
68,Belur and Halebidu,Sightseeing,Mangalore International Airport,170.0,20.0,None,"Temples, Sculptures",Historical
69,Coonoor,Adventure,Coimbatore International Airport,70.0,0.0,None,"TeaGardens, Trekking",Natural Beauty
70,Varkala,Sightseeing,Trivandrum International Airport,44.0,0.0,None,"Beach, Temple",Beach
71,Horsley Hills,Adventure,Bengaluru International Airport,160.0,0.0,None,"HillStation, Trekking",Natural Beauty
72,Pamban Bridge,Sightseeing,Madurai International Airport,169.0,0.0,None,"Bridge, Scenic Views",Historical
73,Trivandrum,Sightseeing,Trivandrum International Airport,5.0,0.0,None,"Temples, Museums",Urban
74,Kumarakom,Sightseeing,Cochin International Airport,78.0,0.0,None,"Backwaters, Bird Sanctuary",Natural Beauty
75,Kollam,Sightseeing,Trivandrum International Airport,70.0,0.0,None,"Backwaters, Beaches",Natural Beauty
76,Silent Valley National Park,Adventure,Coimbatore International Airport,130.0,50.0,None,"Wildlife, Trekking",Wildlife
77,Vellore Fort,Sightseeing,Chennai International Airport,130.0,5.0,None,"Fort, Architecture",Historical
78,Agumbe,Adventure,Mangalore International Airport,96.0,0.0,None,"Rainforest, Trekking",Natural Beauty
79,Yelagiri,Adventure,Bengaluru International Airport,145.0,0.0,None,"HillStation, Adventure Sports",Natural Beauty
80,Araku Valley,Adventure,Visakhapatnam Airport,120.0,10.0,None,"Coffee Plantations, Trekking",Natural Beauty
81,Srirangapatna,Sightseeing,Mysore Airport,14.0,5.0,None,"Temples, River",Historical
82,Kalpetta,Adventure,Calicut International Airport,90.0,0.0,None,"Trekking, Waterfalls",Natural Beauty
83,Chettinad,Sightseeing,Madurai International Airport,90.0,20.0,None,"Mansions, Cuisine",Cultural
84,Auroville,Sightseeing,Chennai International Airport,140.0,0.0,None,"Community, Meditation",Cultural
85,Bhadrachalam,Sightseeing,Rajahmundry Airport,185.0,10.0,None,"Temple, River",Religious
